CÓDIGO,STATUS
AALR3,ok
ABCB4,ok
ABCP11,ok
ABEV3,ok
ADMF3,sem_logo
ADSH11,sem_logo
AERI3,ok
AERO11,sem_logo
AESO3,sem_logo
AFHF11,sem_logo
AFHI11,sem_logo
AFLT3,sem_logo
AGRO3,ok
AGXY3,ok
AHEB3,sem_logo
AHEB5,sem_logo
AHEB6,sem_logo
AIEC11,sem_logo
AJFI11,ok
ALLD3,ok
ALMI11,sem_logo
ALOS3,ok
ALPA3,ok
ALPA4,ok
ALPK3,ok
ALUP11,ok
ALUP3,ok
ALUP4,ok
ALZC11,sem_logo
ALZM11,sem_logo
ALZR11,sem_logo
ALZT11,sem_logo
AMAR3,ok
AMBP3,ok
AMER3,ok
AMOB3,ok
ANCR11,sem_logo
ANIM3,ok
APTI3,sem_logo
APTI4,sem_logo
APTO11,sem_logo
APXM11,sem_logo
ARML3,ok
ARND3,sem_logo
AROA11,sem_logo
ARRI11,ok
ARXD11,sem_logo
ASAI3,ok
ASRF11,sem_logo
ATED3,ok
ATSA11,sem_logo
AUAU3,sem_logo
AURA33,ok
AURB11,sem_logo
AURE3,ok
AVLL3,ok
AVUR11,sem_logo
AXIA3,sem_logo
AXIA5,sem_logo
AXIA6,sem_logo
AXIA7,sem_logo
AZEV3,ok
AZEV4,ok
AZPL11,sem_logo
AZTE3,ok
AZUL53,sem_logo
AZZA3,ok
B3SA3,ok
BALM3,sem_logo
BALM4,ok
BAUH3,sem_logo
BAUH4,sem_logo
BAZA3,ok
BBAS3,ok
BBDC3,ok
BBDC4,ok
BBFI11,sem_logo
BBFO11,sem_logo
BBIG11,ok
BBML3,sem_logo
BBRC11,sem_logo
BBSE3,ok
BCFF11,sem_logo
BCIA11,sem_logo
BCRI11,sem_logo
BDLL3,ok
BDLL4,ok
BEEF3,ok
BEES3,ok
BEES4,ok
BETP3,sem_logo
BFCC11,sem_logo
BGIP3,ok
BGIP4,ok
BGRB11,ok
BHIA3,ok
BICE11,sem_logo
BIED3,ok
BIME11,sem_logo
BIOM3,ok
BIPD11,sem_logo
BLAU3,ok
BLCA11,sem_logo
BLMG11,ok
BLMO11,ok
BLOG11,sem_logo
BMEB3,ok
BMEB4,ok
BMGB4,ok
BMIN3,sem_logo
BMIN4,ok
BMKS3,ok
BMLC11,sem_logo
BMOB3,ok
BNBR3,ok
BNFS11,sem_logo
BOBR3,sem_logo
BOBR4,ok
BPAC11,ok
BPAC3,ok
BPAC5,ok
BPAR3,sem_logo
BPML11,sem_logo
BRAP3,ok
BRAP4,ok
BRAV3,ok
BRBI11,ok
BRCO11,sem_logo
BRCR11,sem_logo
BRIM11,sem_logo
BRIP11,sem_logo
BRKM3,ok
BRKM5,ok
BRKM6,sem_logo
BROF11,ok
BRQB3,sem_logo
BRSR3,ok
BRSR5,sem_logo
BRSR6,ok
BRST3,ok
BSLI3,ok
BSLI4,ok
BTAL11,ok
BTCI11,sem_logo
BTHF11,ok
BTHI11,sem_logo
BTLG11,sem_logo
BTML11,sem_logo
BTRA11,ok
BTSG11,sem_logo
BTSI11,sem_logo
BTWR11,sem_logo
BTYU11,ok
BVAR11,sem_logo
CACR11,sem_logo
CALI3,sem_logo
CAMB3,ok
CAML3,ok
CARE11,sem_logo
CASH3,ok
CASN3,sem_logo
CASN4,sem_logo
CATA3,sem_logo
CATA4,sem_logo
CBAV3,ok
CBEE3,sem_logo
CBOP11,ok
CCME11,sem_logo
CCTY3,sem_logo
CCVA11,sem_logo
CEAB3,ok
CEBR3,ok
CEBR5,ok
CEBR6,ok
CEDO3,sem_logo
CEDO4,ok
CEEB3,sem_logo
CEEB5,sem_logo
CEEB6,sem_logo
CEED3,sem_logo
CEED4,sem_logo
CEGR3,sem_logo
CEOC11,sem_logo
CFII11,sem_logo
CGAS3,ok
CGAS5,ok
CGRA3,ok
CGRA4,ok
CJCT11,sem_logo
CLIN11,sem_logo
CLSC3,sem_logo
CLSC4,ok
CMIG3,ok
CMIG4,ok
CMIN3,ok
CNES11,sem_logo
COCE3,sem_logo
COCE5,ok
COCE6,sem_logo
COGN3,ok
COMR3,sem_logo
CPFE3,ok
CPFF11,sem_logo
CPLE3,ok
CPLG11,sem_logo
CPOF11,sem_logo
CPSH11,sem_logo
CPTS11,sem_logo
CPUR11,ok
CRFF11,sem_logo
CRPG3,sem_logo
CRPG5,ok
CRPG6,sem_logo
CRTE3,sem_logo
CRTE5,sem_logo
CSAN3,ok
CSED3,ok
CSMG3,ok
CSNA3,ok
CSUD3,ok
CTAX3,sem_logo
CTCA3,sem_logo
CTKA3,sem_logo
CTKA4,sem_logo
CTSA3,ok
CTSA4,ok
CTXT11,sem_logo
CURY3,ok
CVBI11,sem_logo
CVCB3,ok
CXAG11,sem_logo
CXCE11,sem_logo
CXCI11,sem_logo
CXCO11,ok
CXRI11,sem_logo
CXSE3,ok
CXTL11,sem_logo
CYLD11,sem_logo
CYRE3,ok
CYRE4,sem_logo
DAMA11,sem_logo
DASA3,ok
DAYM11,sem_logo
DESK3,ok
DEVA11,sem_logo
DEXP3,ok
DEXP4,ok
DIRR3,ok
DMVF3,ok
DOHL3,ok
DOHL4,sem_logo
DOTZ3,ok
DOVL11,sem_logo
DPRO11,sem_logo
DTCY3,sem_logo
DTCY4,sem_logo
DVFF11,ok
DXCO3,ok
EALT3,ok
EALT4,ok
ECOR3,ok
EDFO11,sem_logo
EDGA11,sem_logo
EDGE11,sem_logo
EGAF11,sem_logo
EGGY3,sem_logo
EGIE3,ok
EIRA11,sem_logo
EKTR3,sem_logo
EKTR4,ok
EMAE3,sem_logo
EMAE4,ok
EMBJ3,sem_logo
EMET11,ok
ENEV3,ok
ENGI11,ok
ENGI3,ok
ENGI4,ok
ENJU3,ok
ENMT3,sem_logo
ENMT4,ok
EPAR3,ok
EQIR11,sem_logo
EQMA3B,ok
EQMA5B,sem_logo
EQMA6B,sem_logo
EQPA3,ok
EQPA5,sem_logo
EQPA6,sem_logo
EQPA7,sem_logo
EQTL3,ok
ERCR11,sem_logo
ERPA11,sem_logo
ESPA3,ok
ESTR3,sem_logo
ESTR4,ok
ETER3,ok
EUCA3,sem_logo
EUCA4,ok
EUFA3,sem_logo
EURO11,sem_logo
EVEN3,ok
EXES11,sem_logo
EZTC3,ok
